id,gsi,academic,personal
3840,0.396226415,0.6,1.125
3841,0.679245283,1,0.875
3842,1.018867925,1.1,1.5
3843,0.943396226,2.9,2.5
3844,0.245283019,0.2,0.625
3847,0.830188679,2.2,1.625
3848,0.830188679,1.1,1.375
3849,0.037735849,0.3,0.625
3850,0.188679245,0.4,1.25
3851,0.320754717,0.1,0.5
3853,1.169811321,1.8,1.75
3855,0.150943396,1.5,0.5
3856,0.547169811,0.9,1.75
3857,0.226415094,0.7,0.75
3858,1.153846154,1.5,2.75
3859,0.509433962,3.1,1.5
3861,1.471698113,3.1,1.875
3863,0.509433962,0.8,0.625
3864,0.924528302,1,0.5
3865,0.113207547,0.9,0.375
3868,0.075471698,0.9,0.25
3869,0.823529412,1.1,2
3870,2.339622642,2.2,2
3871,1.25,2.4,1.75
3872,0.320754717,1.3,0.75
3873,0.647058824,1.6,1.25
3874,1.301886792,1.2,2.125
3875,0.452830189,1.2,0.875
3877,0.773584906,1.7,1.625
3879,0,1.6,0.125
3880,0.698113208,1.6,1
3883,0.358490566,0.2,1.125
3884,0.283018868,1.2,0.5
3885,1.188679245,1.7,1.625
3887,0.754716981,1.4,0.625
3889,0.603773585,1.3,1.375
3890,0.433962264,2,1.25
3891,1.41509434,0.5,1.75
3893,0.188679245,0.6,1
3894,0.396226415,1.2,1.125
3895,2.037735849,2,3
3896,1.5,1.2,1.625
3897,0.20754717,1,0.875
3898,0.452830189,2.2,0.75
3899,0.117647059,0.4,0.375
3900,1.452830189,1.8,1.5
3901,0.226415094,0.5,0.875
3903,2.2,2.2,2.125
3905,2.433962264,3.9,2.625
3906,0.20754717,0.8,0.75
3907,0.245283019,0.6,0.75
3908,0.490566038,1.5,0.75
3911,0.377358491,1.3,1.125
3912,0.830188679,1.6,0.625
3915,0.716981132,1.5,0.75
3916,0.339622642,0.9,1
3917,0.79245283,1.7,1.625
3919,0.346153846,1.7,0.875
3920,0.490566038,2.8,0.625
3921,1.557692308,1.9,1.625
3923,1.019230769,1.4,2
3924,0.698113208,3,1.5
